Disease	Drug
Multiple myeloma 	car-bcma t cell
Solid tumour/cancer 	dolastatin-10
Macular degeneration 	pedf gene therapy
Lymphoma 	mitumprotimut-t
Cerebrovascular ischaemia 	drotrecogin alfa
Severe sepsis 	drotrecogin alfa
Arteriosclerosis 	ci-999
Bone injury 	biomin peptide-ii
Asthma 	infliximab
Plaque psoriasis 	infliximab
Rheumatoid arthritis 	infliximab
Metastatic colorectal cancer 	mga012
Solid tumour/cancer 	mga012
Merkel cell carcinoma 	mga012
Alcohol dependence 	naltrexone
Human immunodeficiency virus infection 	naltrexone
Neuropathic pain 	nktr-171
Motor neurone disease 	tdi-0042
Solid tumour/cancer 	rg7842
Hepatitis C virus infection 	in0-8000
Bacterial infection 	ceftazidime
Lymphoma 	cd19+ car t cells
leukaemia 	cd19+ car t cells
Solid tumour/cancer 	azd5153
Albinism 	resorcinol compound 13
Ephelides 	resorcinol compound 13
Melasma 	resorcinol compound 13
Senile lentigines 	resorcinol compound 13
Menkes disease 	resorcinol compound 13
Dermatitis herpetiformis 	sulfoxone
Bacterial infection 	isepamicin
Breast cancer 	bw-42
Osteoporosis 	calcium
Solid tumour/cancer 	1,2-dihydroindazolo[4,3-bc][1,5]benzoxazepine derivative 1
Metastatic cancer 	1,2-dihydroindazolo[4,3-bc][1,5]benzoxazepine derivative 1
Cancer related pain 	pmid25666693-compound-129
Inflammatory pain 	pmid25666693-compound-129
Neuropathic pain 	pmid25666693-compound-129
Osteoarthritis pain 	pmid25666693-compound-129
Solid tumour/cancer 	mirna targeting agent
Obesity 	piperazine derivative 2
Bacterial infection 	lotilibcin dermatological cream
Crohn disease 	mln0002
Otitis media 	bis-triazole derivative 10
Solid tumour/cancer 	cytoros
Cough 	gefapixant
Major depressive disorder 	gw-3965
Asthma 	ot-4003
Solid tumour/cancer 	ron monoclonal antibody
Lymphoma 	cyc065
Solid tumour/cancer 	cyc065
Solid tumour/cancer 	plx73086
Gastric adenocarcinoma 	lonsurf
Solid tumour/cancer 	tz-93
Raynaud disease 	bc-rd-03
Colorectal cancer 	epacadostat
Head and neck cancer 	epacadostat
Lung cancer 	epacadostat
Lymphoma 	epacadostat
Melanoma 	epacadostat
Merkel cell carcinoma 	epacadostat
Ovarian cancer 	epacadostat
Recurrent glioblastoma 	epacadostat
B-cell lymphoma 	epacadostat
Solid tumour/cancer 	azd7762
Diabetic complication 	intranasal insulin
Head and neck cancer 	porfiromycin
Bacterial infection 	kb-5246
Bacterial infection 	carbenicillin indanyl sodium
Lymphoma 	cd19-directed car-t cells
Alzheimer disease 	cpc-201
Cognitive impairment 	5-ht 6 receptor antagonists
Ephelides 	pmid26815044-compound-52
Melasma 	pmid26815044-compound-52
Menkes disease 	pmid26815044-compound-52
Albinism 	pmid26815044-compound-52
Senile lentigines 	pmid26815044-compound-52
Myelofibrosis 	pacritinib
Gastric adenocarcinoma 	liposome entrapped paclitaxel
Ovarian cancer 	liposome entrapped paclitaxel
Gastrointestinal disease 	sk-951
Cardiac arrhythmias 	cilobradine
Diffuse large B-cell lymphoma 	retroviral vector-transduced autologous t cells to express cd22-specific cars
Follicular lymphoma 	retroviral vector-transduced autologous t cells to express cd22-specific cars
Mantle cell lymphoma 	retroviral vector-transduced autologous t cells to express cd22-specific cars
Type-2 diabetes 	bms-986036
Articular cartilage disorder 	tissuegene-cs
Constipation 	laxatives stimulant
Metastatic cancer 	thiazole carboxamide derivative 33
Solid tumour/cancer 	thiazole carboxamide derivative 33
Parainfluenza virus infection 	cal-202
Small-cell lung cancer 	amg 757
Hypercholesterolaemia 	bph-652
Solid tumour/cancer 	abt-165
Diabetic complication 	ono-5129
Metastatic cancer 	pmid25684022-compound-wo2012135799 41(1.3)
Solid tumour/cancer 	pmid25684022-compound-wo2012135799 41(1.3)
Congestive heart failure 	furosemide
Cystic fibrosis 	syn-1134
Asthma 	sb-436811
Renal cell carcinoma 	ilixadencel
Epilepsy 	bis-001
Solid tumour/cancer 	penclomedine
Motor neurone disease 	gem-als
Intermittent claudication 	angx-1039
Hypertriglyceridemia 	mega-3-acid ethyl esters
Cancer related pain 	pmid25666693-compound-112
Inflammatory pain 	pmid25666693-compound-112
Neuropathic pain 	pmid25666693-compound-112
Osteoarthritis pain 	pmid25666693-compound-112
Type-1 diabetes 	sar-161271
Recurrent glioblastoma 	egfrviii-cars
Acute myeloid leukaemia 	jnj-63709178
Tumour 	anti-mesothelin car t cells
Solid tumour/cancer 	pin-2
Solid tumour/cancer 	int230-6
Pulmonary fibrosis 	grn-510
Obesity 	mkc-180
Acute coronary syndrome 	e5555
Diffuse large B-cell lymphoma 	dacetuzumab
Non-hodgkin lymphoma 	dacetuzumab
Alzheimer disease 	ttp-448
Hyperlipoproteinemia 	akcea-apo(a)-lrx
Cardiovascular disease 	fp-0210
Bacterial infection 	me-1036
Solid tumour/cancer 	legumain-cleavable doxorubicin prodrugs
Oral mucositis 	gc4419
Pancreatic cancer 	gc4419
Pain 	niravoline
Head and neck cancer 	ispinesib
Ovarian cancer 	ispinesib
Renal cell carcinoma 	ispinesib
Solid tumour/cancer 	ispinesib
Bacterial infection 	cefaclor
Heart attack 	tf0023
Ischemic stroke 	tf0023
Type-2 diabetes 	tf0023
Solid tumour/cancer 	nu-1001-41
Lung cancer 	re-188-p-2045
Obesity 	ttp435
Schizophrenia 	clothiapine
Solid tumour/cancer 	pmid28270021-compound-wo2010077680 201
Chronic pain 	pmid28270021-compound-wo2010077680 201
Neuropathic pain 	pmid28270021-compound-wo2010077680 201
Pruritus 	pmid28270021-compound-wo2010077680 201
Thymic cancer 	pmid28270021-compound-wo2010077680 201
Melanoma 	prame antigen-specific cancer
Gastrointestinal cancer 	medi-565
Late-stage acute myeloid leukaemia 	elacytarabine
B-cell lymphoma 	ic9-car19 t cells
Immune System disease 	ic9-car19 t cells
Immunoproliferative disorder 	ic9-car19 t cells
Lymphoma 	ic9-car19 t cells
Neurodegenerative disorder 	mda-106
Influenza A virus H5N1 infection 	aflunov
Influenza virus infection 	bvs-212
Atherosclerosis 	bms-582949
Psoriasis vulgaris 	bms-582949
Melanoma 	mirna-based therapeutics
Non-hodgkin lymphoma 	mitoxantrone liposomal
Depression 	iti-007
Insomnia 	iti-007
Major depressive disorder 	iti-007
Schizophrenia 	iti-007
Gram-positive bacterial infection 	lincomycin
Asthma 	iw-1221
Schizophrenia 	y-931
Biliary cancer 	elpamotide
Atopic dermatitis 	sna-125
Pruritus 	sna-125
Psoriasis vulgaris 	sna-125
Type-2 diabetes 	biod-531
Irritable bowel syndrome 	ispaghula
Multiple sclerosis 	asp-4058
Solid tumour/cancer 	rnai therapeutics, genesegues inc
Solid tumour/cancer 	fluorapacin
Growth failure 	vitatropin
Clostridium infection 	ser-109
Solid tumour/cancer 	cm-101
Bacterial infection 	zn-dpa-i
Alopecia 	secukinumab
Atopic dermatitis 	secukinumab
Plaque psoriasis 	secukinumab
Psoriatic arthritis 	secukinumab
Dry eye disease 	secukinumab
Multiple sclerosis 	secukinumab
Rheumatoid arthritis 	secukinumab
Type-1 diabetes 	secukinumab
Solid tumour/cancer 	213-bi dota-pesin
Solid tumour/cancer 	ly2780301
Bacterial infection 	novobiocin
Parkinson disease 	ethopropazine
Chronic obstructive pulmonary disease 	azd4721
Chronic lymphocytic leukaemia 	cd20-specific car t cells
Large cell lymphoma 	cd20-specific car t cells
Lymphoma 	cd20-specific car t cells
Mantle cell lymphoma 	cd20-specific car t cells
Non-hodgkin lymphoma 	cd20-specific car t cells
Follicular lymphoma 	cd20-specific car t cells
Melanoma 	mage-3-transduced autologous t-cell vaccine
Melanoma 	talimogene
Motor neurone disease 	nt-ko-003
Retinitis pigmentosa 	rst100
Colorectal cancer 	uft/leucovorin calcium
Crohn disease 	pmid26651364-compound-9c
Ulcerative colitis 	pmid26651364-compound-9c
Urinary tract infection 	pmid26651364-compound-9c
Solid tumour/cancer 	ep-342
Acute myeloid leukaemia 	pri-724
Abdominal stomach pain 	clidinium
Irritable bowel syndrome 	clidinium
Solid tumour/cancer 	stat-3 decoy (nsc-741763)
Anxiety disorder 	cgs-12066b
Fungal infection 	antifungal multivalent oral vaccine
Solid tumour/cancer 	ct-200
Migraine 	trv250
Melasma 	resorcinol compound 28
Menkes disease 	resorcinol compound 28
Albinism 	resorcinol compound 28
Ephelides 	resorcinol compound 28
Senile lentigines 	resorcinol compound 28
Chronic obstructive pulmonary disease 	aclidinium/formoterol
Thrombosis 	hirufaxin
Prostate cancer 	anti-ox40 monoclonal antibody
Virus infection 	micacides
Infectious disease 	sitamaquine
Human immunodeficiency virus infection 	dac:antiviral
Bacterial infection 	ertapenem
Breast cancer 	immunopulse il-12
Albinism 	3-(phenoxymethyl) benzylamine derivative 6
Ephelides 	3-(phenoxymethyl) benzylamine derivative 6
Melasma 	3-(phenoxymethyl) benzylamine derivative 6
Menkes disease 	3-(phenoxymethyl) benzylamine derivative 6
Senile lentigines 	3-(phenoxymethyl) benzylamine derivative 6
Anaesthesia 	atracurium
Inflammation 	vr096
Diabetic foot ulcer 	il22-fc
Multiple sclerosis 	ata190
Neisseria gonorrhoeae infection 	rosaramicin
Haematological malignancy 	edo-s101
Solid tumour/cancer 	edo-s101
Crohn disease 	pmid26651364-compound-7e
Ulcerative colitis 	pmid26651364-compound-7e
Urinary tract infection 	pmid26651364-compound-7e
Hepatitis C virus infection 	fusopin
Pompe disease 	gz402666
Type 2 glycogen storage disease 	gz402666
Sepsis 	tiapafant
External genital and perianal wart 	sb206
Molluscum contagiosum infection 	sb206
Infectious disease 	rg7745
Solid tumour/cancer 	ron mab
Solid tumour/cancer 	smnt-1
Solid tumour/cancer 	teceleukin
Myocardial infarction 	ho-4038
Congestive heart failure 	etozolin
Bacterial infection 	flucloxacillin
Rheumatoid arthritis 	ave1701
Osteoarthritis 	crb-0016
Hypercholesterolaemia 	brutieridin
Central nervous system disease 	cph-106
Cough 	benzonatate
Major depressive disorder 	strada
Breast cancer 	edd7h9
Opioid-induced constipation 	naldemedine tosylate
Solid tumour/cancer 	cytochrome p450-targeting prodrugs
Ovarian cancer 	alvac-cea/hb7.1
Inflammation 	sb-282241
Gastric adenocarcinoma 	mm-111
Breast cancer 	mm-111
Spasm 	hexafluronium bromide
Major depressive disorder 	dothiepin
Bacterial infection 	norfloxacin
Anxiety disorder 	ly-293284
Virus infection 	inosine pranobex
Rheumatoid arthritis 	inosine pranobex
Anxiety disorder 	cr-5542
Glioblastoma multiforme 	armed probodies
Infectious disease 	dims-9054
Cerebrovascular ischaemia 	ep-37
Schizophrenia 	pd-157533
Infectious disease 	mrna mrk-1777
Rosacea 	dfd-04
Hypertension 	terbutyline
Alopecia 	bimatoprost
Alzheimer disease 	turmeric extracts
Stroke 	stroke polyfunctional therapeutic
Influenza virus infection 	par-401
Diarrhea 	kaolin/pectin
Bacterial infection 	olanexidine hydrochloride
Glioblastoma multiforme 	gene therapy, ifn-b
Respiratory tract infection 	colistimethate
Diabetic foot ulcer 	cvbt-141b
Major depressive disorder 	s32504
Parkinson disease 	s32504
Atopic dermatitis 	oligonucleotide decoys (nfkappab)
Head and neck cancer 	vb4-845
Non-insulin dependent diabetes 	skl-19014
Pancreatic tumour 	ccx872
Diabetic nephropathy 	ccx872
Opioid dependence 	s-297995
Inflammatory bowel disease 	4-aminosalicylate sodium (oral controlled release, ulcerative colitis), agi therapeutics
Solid tumour/cancer 	taxotere-mab
Cerebrovascular ischaemia 	nps-1392
Bacterial infection 	staphylocide
Hypertension 	pd-160170
Obesity 	pd-160170
Heart disease 	pd-160170
Virus infection 	lc16m8
Type-2 diabetes 	pf-04971729
Influenza virus infection 	bk-pifa
Autoimmune diabetes 	medi-553
Solid tumour/cancer 	bb-15600
Nervous system inflammation 	kr-31360
Vertigo meniere disease 	cinnarizine
Influenza virus infection 	gs-3435
Non-insulin dependent diabetes 	glucagon-like peptide-1 analog
Malaria 	t-2
Musculoskeletal disorder 	sa-20896
Neurological disorder 	ta-111
Non-small-cell lung cancer 	viagenpumatucel-l
Sjogren syndrome 	cevimeline
Sjogren syndrome 	mln-3126
Non-insulin dependent diabetes 	dipeptidyl peptidase iv inhibitors
Lung cancer 	ac vaccine
Autoimmune diabetes 	humax-tac
Hepatocellular carcinoma 	anti-egfr v iii car-t cells
Lung cancer 	anti-egfr v iii car-t cells
Glioma 	anti-egfr v iii car-t cells
Angiogenesis disorder 	jnj-38158471
Bipolar disorder 	lithium citrate
Glioblastoma multiforme 	pr-p
Rheumatoid arthritis 	ravax
Psoriasis vulgaris 	ravax
Infectious disease 	pm-181108
Estrogen deficiency 	edg-007
Metabolic disorder 	arx-618
Arteriosclerosis 	atherosclerosis/rheumatoid arthritis agents
Solid tumour/cancer 	gdc-0994
Solid tumour/cancer 	tak-441
Solid tumour/cancer 	it-139
Autoimmune diabetes 	onx-0914
Solid tumour/cancer 	msc2156119
Melanoma 	fang
Adjuvant ovarian cancer 	fang
Multiple sclerosis 	pf530
Follicular lymphoma 	pixantrone
Multiple sclerosis 	pixantrone
Pediatric cancer 	pixantrone
Diffuse large B-cell lymphoma 	pixantrone
Breast cancer 	tpiv100
Heart failure 	eplerenone
Parkinson disease 	diazepinone derivative 3
Reflux disease 	diazepinone derivative 3
Mature gastrointestinal nematode infection 	morantel tartrate
Human immunodeficiency virus infection 	scy-644
Angina pectoris 	fr-144420
Diabetic foot ulcer 	act-1 topical gel
Hypertension 	angiotensin therapeutic vaccine
Factor IX deficiency 	mod-3012
Epilepsy 	ethosuximide
Obesity 	pyrazole derivative 46
Angina pectoris 	trimetazidine
Cognitive impairment 	piracetam
Chronic obstructive pulmonary disease 	qva-149
Sanfilippo syndrome 	hgt-1410
Ocular hypertension 	msh-1001
Pneumonia 	ap-301-ih
Solid tumour/cancer 	im156
Acute lymphoblastic leukaemia 	anti-cd19 car-t cells
B-cell lymphoma 	anti-cd19 car-t cells
Obesity 	pyrazole derivative 18
Ear disease 	fibroblast growth factor
Acute myeloid leukaemia 	mg7-cart
Immune System disease 	g009
Infestations of lice and scabies 	lindane
Haemophilia B 	coagulation factor ix
Acute myeloid leukaemia 	sgi110
Asthma 	bio-1211
Solid tumour/cancer 	pci-34051
Insomnia 	tasimelteon
Hepatitis B virus infection 	r-7025
Multiple myeloma 	lenalidomide
Lymphoma 	bp-100-1.02
Migraine 	ags-003
Renal cell carcinoma 	ags-003
Haematological malignancy 	emd-534085
Alopecia 	an-10
Metal intoxication 	desferrithiocin
Pancreatic cancer 	mvt-5873
Prostate cancer 	mvt-5873
Solid tumour/cancer 	mvt-5873
Colorectal cancer 	mvt-5873
Staphylococcus infection 	cvp s aureus vaccine
Metachromatic leukodystrophy 	shp611
Hepatic encephalopathy 	sodium phenylacetate/sodium benzoate
Overactive bladder 	hmaxi-k
Gastric adenocarcinoma 	xr-5944
Bacterial infection 	anti-sortase mab
Bleeding disorder 	tt-112
Iron overload disease 	exjade
Alzheimer disease 	ban-2203
Human immunodeficiency virus infection 	pmid30107136-compound-general structure25
Infectious disease 	pmid30107136-compound-general structure25
Solid tumour/cancer 	pmid30107136-compound-general structure25
Hepatitis 	pmid30107136-compound-general structure25
Lymphoma 	l-778123
Alzheimer disease 	eicosapentaenoic acid/docosa-hexaenoic acid
Hypertriglyceridemia 	eicosapentaenoic acid/docosa-hexaenoic acid
Immune System disease 	pmid25553724-compound-us2012819831110
Arthritis 	seprilose
Solid tumour/cancer 	epi-288
Bladder cancer 	neo-pv-01
Melanoma 	neo-pv-01
Influenza virus infection 	agriflu
Solid tumour/cancer 	metallo-saha
Onychomycosis 	triacetin
Solid tumour/cancer 	sch-1450206
Type-2 diabetes 	asp8497
Huntington disease 	sbt-20
Hypertension 	ahr-16303b
Respiratory tract inflammation 	wck-1152
Solid tumour/cancer 	ephb4-131
Bacterial infection 	acetyl coa carboxylase inhibitors, bayer
Diffuse large B-cell lymphoma 	vmab + y-90 emab
Type-2 diabetes 	rosiglitazone + simvastatin
Cardiovascular disease 	a-003
Solid tumour/cancer 	sg-2274
Anemia 	levoleucovorin
Duchenne dystrophy 	gamma-sarcoglycan gene-containing recombinant aav1 vector based therapy
Inflammation 	cgen-913
Solid tumour/cancer 	tak-070
Aplastic anemia 	oxymetholone
Arteriosclerosis 	km-011
Bacterial infection 	macrolides
Solid tumour/cancer 	medi6469
Metastatic cancer 	thiazole carboxamide derivative 1
Solid tumour/cancer 	thiazole carboxamide derivative 1
Gram-positive bacterial infection 	td-1792
Skin infection 	td-1792
Virus infection 	oravax-px
Multiple myeloma 	apo-010
Respiratory infection 	aln-rsv01
Transplant rejection 	alkaloidal immunosuppresants
Injury 	poloxafuse-i
Spinal cord injury 	stem cell therapy
Alzheimer disease 	elnd-007
Solid tumour/cancer 	cgm097
Human immunodeficiency virus-1 infection 	ep-1043
Bacterial infection 	plant-derived antibacterials
Solid tumour/cancer 	mx-76629
Acute lymphoblastic leukaemia 	kymriah
Chronic lymphocytic leukaemia 	kymriah
Follicular lymphoma 	kymriah
Diffuse large B-cell lymphoma 	kymriah
Type-1 diabetes 	pf-06342674
Type-2 diabetes 	pf-06342674
Cystic fibrosis 	p-552-02
Hepatitis C virus infection 	na-808
Bacterial infection 	s-649266
Obesity 	stearoyl coa desaturase-1 inhibitors
Hepatitis C virus infection 	kpe-00001113
Vomiting 	cp-100263
Pain 	842166x
Pain 	hydrocodex
Solid tumour/cancer 	rp-656
Multiple myeloma 	bi-505
Ebola virus infection 	adhu5-zgp
Chronic obstructive pulmonary disease 	pt001 gp
Crohn disease 	mannoside derivative 13
Ulcerative colitis 	mannoside derivative 13
Urinary tract infection 	mannoside derivative 13
Schizophrenia 	ssr-125047
Constitutional neutropenia 	epoietin delta
Solid tumour/cancer 	azd-1152-hqpa
Gram-positive bacterial infection 	slp-1004
Alzheimer disease 	rs-66252
Human papillomavirus infection 	cervarix
Migraine 	bms-181885
Solid tumour/cancer 	hg-1078
Breast cancer 	abt-888
Epithelial ovarian cancer 	abt-888
Melanoma 	abt-888
Non-small-cell lung cancer 	abt-888
Ovarian cancer 	abt-888
Asthma 	tipelukast
Idiopathic pulmonary fibrosis 	tipelukast
Allergy 	siguazodan
Asthma 	ur-8328
Factor VIII deficiency 	lg-888
Autoimmune diabetes 	lp-0067
Type-2 diabetes 	alogliptin/pioglitazone
Breast cancer 	17beta-hsd1 inhibitor
Alzheimer disease 	gantenerumab
Anaesthesia 	proparacaine
Spasm 	succinylcholine
Herpes simplex virus infection 	gd2-lm
Osteoporosis 	tiludronic acid
Solid tumour/cancer 	cdx-301
Hematopoietic stem cell transplantation 	cdx-301
Multiple myeloma 	cdx-301
Polycystic ovarian syndrome 	ex-404
Fungal infection 	ur-9660
Prostate cancer 	prostate cancer vaccine, fk biotecnologia
Solid tumour/cancer 	sym-011
Metastatic cancer 	thiazole carboxamide derivative 15
Solid tumour/cancer 	thiazole carboxamide derivative 15
Ocular hypertension 	syl-040012
Nausea 	lintopride
Chronic lymphocytic leukaemia 	ror1 car-specific autologous t-lymphocytes
Acute lymphoblastic leukaemia 	ror1 car-specific autologous t-lymphocytes
Mantle cell lymphoma 	ror1 car-specific autologous t-lymphocytes
Skin inflammation 	benzothiazine-carboxamide compound 5
Bacterial infection 	viomycin sulfate
Nasopharyngeal carcinoma 	ad5f35-lmpd1-2-transduced autologous dendritic cells
Thrombosis 	nlp-91
Solid tumour/cancer 	i-387
Solid tumour/cancer 	som-0777
Colon cancer 	et-003
Inflammation 	fx-141l
Pain 	ajinomoto 1
Type-2 diabetes 	tt-401
Pain 	tedalinab
Tinnitus 	am-101
Bacterial infection 	cefsoludin sodium
Solid tumour/cancer 	vegf kinoid
Allergy 	sch-40338
Respiratory tract inflammation 	ox-esi
Respiratory tract infection 	dw-286
